,codigo_autor,codigo_coautor,num_publicaciones
368,0000-0002-6649-7895,0000-0002-8955-8283,12
369,0000-0002-8955-8283,0000-0002-6649-7895,12
370,0000-0001-5425-969X,0000-0002-1383-5248,60
371,0000-0002-1383-5248,0000-0001-5425-969X,60
372,0000-0001-5497-2743,0000-0003-4753-6745,29
373,0000-0003-4753-6745,0000-0001-5497-2743,29
374,0000-0003-0329-5249,0000-0002-4559-8152,9
375,0000-0002-4559-8152,0000-0003-0329-5249,9
376,0000-0001-8837-2367,0000-0001-7423-9864,22
377,0000-0001-7423-9864,0000-0001-8837-2367,22
378,0000-0002-2151-6394,0000-0002-3485-9740,4
379,0000-0002-3485-9740,0000-0002-2151-6394,4
380,0000-0001-9380-0418,0000-0002-2848-9077,3
381,0000-0002-2848-9077,0000-0001-9380-0418,3
382,0000-0001-6549-2788,0000-0003-1451-9578,7
383,0000-0003-1451-9578,0000-0001-6549-2788,7
384,0000-0002-7229-0081,0000-0003-1133-1174,2
385,0000-0002-7229-0081,0000-0003-3462-1676,2
386,0000-0003-1133-1174,0000-0002-7229-0081,2
387,0000-0003-1133-1174,0000-0003-3462-1676,3
388,0000-0003-3462-1676,0000-0002-7229-0081,2
389,0000-0003-3462-1676,0000-0003-1133-1174,3
390,0000-0002-0566-7723,0000-0001-6964-1904,5
391,0000-0002-0566-7723,0000-0002-8608-3278,14
392,0000-0002-0566-7723,0000-0001-9850-9793,5
393,0000-0001-6964-1904,0000-0002-0566-7723,5
394,0000-0001-6964-1904,0000-0002-8608-3278,5
395,0000-0001-6964-1904,0000-0001-9850-9793,21
396,0000-0002-8608-3278,0000-0002-0566-7723,14
397,0000-0002-8608-3278,0000-0001-6964-1904,5
398,0000-0002-8608-3278,0000-0001-9850-9793,5
399,0000-0001-9850-9793,0000-0002-0566-7723,5
400,0000-0001-9850-9793,0000-0001-6964-1904,21
401,0000-0001-9850-9793,0000-0002-8608-3278,5
402,0000-0001-9251-070X,0000-0001-7834-8486,1
403,0000-0001-7834-8486,0000-0001-9251-070X,1
404,0000-0001-9250-8714,0000-0003-0626-7665,10
405,0000-0001-9250-8714,0000-0001-8783-6959,11
406,0000-0003-0626-7665,0000-0001-9250-8714,10
407,0000-0001-8783-6959,0000-0001-9250-8714,11
408,0000-0001-6780-9259,0000-0002-3153-4297,8
409,0000-0001-6780-9259,0000-0003-2259-5853,27
410,0000-0002-3153-4297,0000-0001-6780-9259,8
411,0000-0002-3153-4297,0000-0003-2259-5853,7
412,0000-0003-2259-5853,0000-0001-6780-9259,27
413,0000-0003-2259-5853,0000-0002-3153-4297,7
414,0000-0001-5419-7935,0000-0003-2927-7225,1
415,0000-0003-2927-7225,0000-0001-5419-7935,1
416,0000-0002-5237-0789,0000-0003-2228-4238,2
417,0000-0002-5237-0789,0000-0003-4476-8268,2
418,0000-0003-2228-4238,0000-0002-5237-0789,2
419,0000-0003-2228-4238,0000-0003-4476-8268,5
420,0000-0003-4476-8268,0000-0002-5237-0789,2
421,0000-0003-4476-8268,0000-0003-2228-4238,5
422,0000-0002-6140-2287,0000-0001-5301-0681,5
423,0000-0002-6140-2287,0000-0002-8219-4827,6
424,0000-0002-6140-2287,0000-0001-9049-6916,5
425,0000-0002-6140-2287,0000-0002-3400-9068,1
426,0000-0001-5301-0681,0000-0002-6140-2287,5
427,0000-0001-5301-0681,0000-0002-8219-4827,22
428,0000-0001-5301-0681,0000-0001-9049-6916,16
429,0000-0001-5301-0681,0000-0002-3400-9068,7
430,0000-0002-8219-4827,0000-0002-6140-2287,6
431,0000-0002-8219-4827,0000-0001-5301-0681,22
432,0000-0002-8219-4827,0000-0001-9049-6916,16
433,0000-0002-8219-4827,0000-0002-3400-9068,7
434,0000-0001-9049-6916,0000-0002-6140-2287,5
435,0000-0001-9049-6916,0000-0001-5301-0681,16
436,0000-0001-9049-6916,0000-0002-8219-4827,16
437,0000-0001-9049-6916,0000-0002-3400-9068,7
438,0000-0002-3400-9068,0000-0002-6140-2287,1
439,0000-0002-3400-9068,0000-0001-5301-0681,7
440,0000-0002-3400-9068,0000-0002-8219-4827,7
441,0000-0002-3400-9068,0000-0001-9049-6916,7
442,0000-0003-1321-8714,0000-0002-0747-7317,2
443,0000-0002-0747-7317,0000-0003-1321-8714,2
444,0000-0003-4659-8960,0000-0003-3447-3570,13
445,0000-0003-3447-3570,0000-0003-4659-8960,13
446,0000-0002-7780-1039,0000-0003-0812-8829,1
447,0000-0003-0812-8829,0000-0002-7780-1039,1
448,0000-0001-6059-9359,0000-0002-4477-672X,6
449,0000-0002-4477-672X,0000-0001-6059-9359,6
450,0000-0002-3972-9208,0000-0002-7347-3330,2
451,0000-0002-7347-3330,0000-0002-3972-9208,2
452,0000-0001-7945-1426,0000-0001-9806-0893,24
453,0000-0001-9806-0893,0000-0001-7945-1426,24
454,0000-0002-3651-7314,0000-0002-2153-1391,2
455,0000-0002-2153-1391,0000-0002-3651-7314,2
456,0000-0002-0070-7837,0000-0001-9265-0630,2
457,0000-0001-9265-0630,0000-0002-0070-7837,2
458,0000-0003-2563-9559,0000-0002-1728-8085,6
459,0000-0003-2563-9559,0000-0001-7162-0854,22
460,0000-0002-1728-8085,0000-0003-2563-9559,6
461,0000-0002-1728-8085,0000-0001-7162-0854,4
462,0000-0001-7162-0854,0000-0003-2563-9559,22
463,0000-0001-7162-0854,0000-0002-1728-8085,4
464,0000-0002-6188-9902,0000-0002-4579-4479,1
465,0000-0002-4579-4479,0000-0002-6188-9902,1
466,0000-0001-7132-4094,0000-0003-1128-833X,1
467,0000-0003-1128-833X,0000-0001-7132-4094,1
468,0000-0002-4223-0571,0000-0001-7211-7564,37
469,0000-0001-7211-7564,0000-0002-4223-0571,37
470,0000-0002-7800-6045,0000-0003-2139-470X,3
