Unnamed: 0,codigo_autor,publicaciones_totales
851,0000-0003-1738-4269,49
852,0000-0003-0626-7665,28
853,0000-0001-8783-6959,29
855,0000-0002-5605-0395,187
856,0000-0003-1739-4598,88
857,0000-0001-6015-3613,21
858,0000-0002-0067-0093,15
859,0000-0003-2307-8575,49
863,0000-0003-2011-2790,54
864,0000-0001-9530-0820,18
865,0000-0002-3836-0269,34
866,0000-0001-9596-3552,227
868,0000-0001-5154-1796,11
870,0000-0002-2225-8323,131
871,0000-0002-7596-0378,43
873,0000-0003-2216-0526,26
874,0000-0001-9489-1315,18
875,0000-0001-6093-6837,9
876,0000-0001-5575-529X,95
877,0000-0001-9278-5471,30
878,0000-0002-0049-1079,89
879,0000-0002-6879-5343,10
880,0000-0003-0638-8440,44
881,0000-0002-0252-8314,32
882,0000-0002-0412-2270,63
883,0000-0003-4635-6427,12
884,0000-0002-6245-8071,21
886,0000-0001-8884-6235,8
887,0000-0001-6090-4974,81
888,0000-0001-8770-1042,152
889,0000-0003-1870-1430,58
890,0000-0002-7999-7872,31
891,0000-0003-4882-1564,31
892,0000-0003-4732-4590,33
893,0000-0001-5231-3293,9
894,0000-0002-4746-8415,25
895,0000-0002-8942-6897,25
896,0000-0002-2573-1294,122
897,0000-0001-5223-662X,32
898,0000-0002-1595-6887,44
900,0000-0002-6093-0395,69
902,0000-0003-4137-1230,12
903,0000-0001-7918-5164,37
904,0000-0002-3309-1346,19
905,0000-0002-8423-5987,18
906,0000-0002-7248-3449,6
907,0000-0003-2225-6675,67
908,0000-0002-2794-5261,51
911,0000-0001-8485-7092,7
912,0000-0003-4129-0473,35
913,0000-0003-3809-6637,22
914,0000-0003-1756-5449,21
915,0000-0003-1783-133X,48
916,0000-0002-8597-7253,16
917,0000-0002-5569-6186,6
918,0000-0003-1278-2313,25
919,0000-0001-6700-7491,74
920,0000-0003-1381-4604,49
921,0000-0002-6194-0341,76
922,0000-0002-1630-6827,57
923,0000-0001-6350-0641,14
924,0000-0002-7804-4068,8
925,0000-0002-5085-8801,41
926,0000-0002-6616-1996,182
927,0000-0002-4571-4328,29
928,0000-0002-3249-6931,60
929,0000-0001-7790-4022,43
930,0000-0001-7608-208X,21
931,0000-0001-6517-6507,8
932,0000-0003-1240-5438,47
933,0000-0002-6850-733X,21
934,0000-0002-7613-3745,25
936,0000-0002-4958-2166,62
937,0000-0003-3704-1941,27
938,0000-0001-8818-0568,61
939,0000-0003-1923-7430,48
940,0000-0003-3453-023X,9
941,0000-0002-9355-5528,105
942,0000-0003-1111-2932,59
943,0000-0001-7936-1527,23
944,0000-0003-3004-375X,1
945,0000-0003-4713-3911,131
946,0000-0003-2134-9597,32
947,0000-0003-2954-1022,102
948,0000-0002-9253-5170,79
949,0000-0003-0793-022X,21
950,0000-0002-0935-3713,130
951,0000-0002-7307-0291,191
952,0000-0002-8515-8928,53
953,0000-0003-0590-1396,13
954,0000-0003-4500-880X,50
955,0000-0001-6615-9426,27
956,0000-0003-4680-9422,40
957,0000-0003-4535-9036,46
958,0000-0003-0114-7808,35
959,0000-0002-7699-0173,98
960,0000-0002-1589-2254,39
961,0000-0002-2675-528X,57
967,0000-0002-8946-0462,172
968,0000-0001-5281-0302,27
970,0000-0002-1583-5794,20
971,0000-0002-2542-3582,6
973,0000-0003-2547-6593,19
976,0000-0003-0731-9092,75
977,0000-0003-0200-5852,11
978,0000-0002-8931-4676,13
979,0000-0002-5431-3083,1
980,0000-0001-5723-6143,26
981,0000-0002-0879-5798,55
982,0000-0003-3691-8326,13
983,0000-0003-4136-3070,53
985,0000-0001-7233-8156,3
986,0000-0002-8049-3567,65
987,0000-0002-9925-6377,65
988,0000-0002-9658-2601,10
989,0000-0002-0868-4000,42
991,0000-0002-1258-2007,32
992,0000-0001-6695-5297,27
995,0000-0002-9421-1292,17
996,0000-0002-7407-3398,29
998,0000-0003-3106-3568,43
999,0000-0003-1580-7491,14
1000,0000-0002-4513-1608,33
1001,0000-0001-8968-5963,54
