codigo_autor,codigo_coautor,num_coautorías,num_publicaciones_totales,coautorías_normalizadas
0000-0002-6649-7895,0000-0002-8955-8283,12,22,0.5454545454545454
0000-0002-8955-8283,0000-0002-6649-7895,12,180,0.06666666666666667
0000-0001-5425-969X,0000-0002-1383-5248,60,73,0.821917808219178
0000-0002-1383-5248,0000-0001-5425-969X,60,141,0.425531914893617
0000-0001-5497-2743,0000-0003-4753-6745,29,215,0.13488372093023257
0000-0003-4753-6745,0000-0001-5497-2743,29,103,0.2815533980582524
0000-0003-0329-5249,0000-0002-4559-8152,9,19,0.47368421052631576
0000-0002-4559-8152,0000-0003-0329-5249,9,10,0.9
0000-0001-8837-2367,0000-0001-7423-9864,22,23,0.9565217391304348
0000-0001-7423-9864,0000-0001-8837-2367,22,158,0.13924050632911392
0000-0002-2151-6394,0000-0002-3485-9740,4,53,0.07547169811320754
0000-0002-3485-9740,0000-0002-2151-6394,4,64,0.0625
0000-0001-9380-0418,0000-0002-2848-9077,3,44,0.06818181818181818
0000-0002-2848-9077,0000-0001-9380-0418,3,17,0.17647058823529413
0000-0001-6549-2788,0000-0003-1451-9578,7,7,1.0
